name,address,other_address
워시라움 아차산점,서울 광진구 자양로 301,(지번) 구의동 30-28
셀피아 서울성수동점,서울 성동구 성덕정17길 3,(지번) 성수동2가 565-20
셀피아 아차산점,서울 광진구 자양로50길 44,(지번) 구의동 33-9
셀피아 자양동점,서울 광진구 자양로 113,(지번) 자양동 779-11
화이트365 건대입구역점,서울 광진구 동일로24길 56,(지번) 화양동 46-3
코인워시24 능동어린이대공원점,서울 광진구 천호대로112길 29,(지번) 능동 234-36
24시셀프빨래방 자양점,서울 광진구 뚝섬로55길 17,(지번) 자양1동 654-17
워시프레쉬셀프빨래방 군자세종대점,서울 광진구 군자로 76,(지번) 군자동 363-14
워시엔조이 구의점,서울 광진구 구의로 37,(지번) 구의동 222-39
유니셀프 화양점,서울 광진구 동일로24길 6 선우빌 102호,(지번) 화양동 42-31
워시엔조이 자양점,서울 광진구 자양로3길 70,(지번) 자양동 665-19
크린업24 화양점,서울 광진구 아차산로23길 67 1층,(지번) 화양동 37-40
버블맨24셀프빨래방 자양점,서울 광진구 자양로13길 27,(지번) 자양동 630-16
워시엔조이 군자점,서울 광진구 동일로52길 21,(지번) 군자동 117-13
런드리익스프레스 구의점,서울 광진구 아차산로49길 36 1층,(지번) 구의동 252-125
워시팡팡 자양광진점,서울 광진구 아차산로42길 58,(지번) 자양동 229-13
워시스토리셀프빨래방 광진구광장점,서울 광진구 광장로 65,(지번) 광장동 288-1
워시엔조이 송정점,서울 성동구 광나루로11길 10,(지번) 송정동 66-112
우리셀프빨래방,서울 성동구 성수이로 69,(지번) 성수동2가 320-4
우리셀프빨래방협동조합,서울 성동구 성수이로 69 삼화빌딩 2층,(지번) 성수동2가 320-4
워시피플셀프빨래방광진구화양동점,서울 광진구 동일로 178,(지번) 화양동 21-20
셀프 코인 빨래방,서울 영등포구 도영로 45-1,(지번) 도림동 206-4
크린토피아 코인워시 구로5동점,"서울 구로구 가마산로27길 24 순영웰라이빌1차 1층 113,114호",(지번) 구로동 106-10
24시 셀프빨래방,서울 금천구 독산로108길 63,(지번) 독산동 900-16
워시피플 신길광장공원점,서울 영등포구 도림로69길 6-1 엘리시안 1층,(지번) 신길동 420-133
워시테리아셀프빨래방 구로점,서울 구로구 공원로7길 29,(지번) 구로동 111
워시엔조이 신대방역점,서울 관악구 남부순환로151길 54,(지번) 신림동 511-30
워시엔조이 구로디지털단지점,서울 영등포구 시흥대로 595 H하우스대림 뉴스테이트 상가 102호,(지번) 대림동 994-1
코인워시24빨래터 구로점,서울 구로구 구로동로18길 34,(지번) 구로4동 745-3
24시셀프빨래방파란난곡사거리점,서울 관악구 난곡로57길 36,(지번) 신림동 1490-4
크린업24셀프빨래방 철산점,경기 광명시 시청로 39,(지번) 철산동 210-3
스피드워시24,서울 관악구 조원로 97-1,(지번) 신림동 520-24
워시큐 신대방역점,서울 관악구 신사로20길 50,(지번) 신림동 495-9
워시프렌즈셀프빨래방 서울구로4동점,서울 구로구 구로동로28길 55,(지번) 구로동 429-116
화이트365 신도림점,서울 구로구 공원로8길 25 1층,(지번) 구로동 40-11
크린토피아 코인워시 GS신길주유소점,서울 영등포구 신길로 74,(지번) 신길동 3632-2
런드리업셀프세탁방,서울 구로구 경인로47길 126-5,(지번) 고척동 43
백의민족 셀프빨래방 신정점,서울 양천구 목동남로2길 25 1층 2호,(지번) 신정동 202-32
선데이런드리,서울 영등포구 가마산로 504-1,(지번) 신길동 236-11
구일셀프빨래방,서울 구로구 구일로10길 27,(지번) 구로1동 650-4
코인워시24 빨래터 구로디지털점,서울 구로구 시흥대로 525,(지번) 구로동 1131-8
더런드리 신도림점,서울 구로구 신도림로 20,(지번) 신도림동 398-2
파란빨래방 난곡사거리점,서울 관악구 난곡로57길 36 1층,(지번) 신림동 1490-4
크린업24셀프빨래방,서울 구로구 개봉로12길 35-4,(지번) 개봉동 277-9
화이트365 신대방역점,서울 관악구 조원로 143,(지번) 신림동 480-2
워시테리아 남구로점,서울 구로구 디지털로27길 86 1층,(지번) 구로동 797-47
워시프렌즈 서울구로구청점,서울 구로구 구로중앙로18길 40 102호,(지번) 구로동 95-10
워시프레쉬셀프빨래방 신도림포스빌,서울 구로구 새말로 102,(지번) 구로동 26
크린업24 구로점,서울 구로구 디지털로27라길 39-2,(지번) 구로동 792-26
JJ런드로맷카페,서울 관악구 조원로2가길 25 1층,(지번) 신림동 1654-25
워시팡팡 셀프 빨래방 신대방역점,서울 관악구 조원로18길 13,(지번) 신림동 532-19
버블맨24 신대방점,서울 동작구 신대방3길 28 1층,(지번) 신대방동 691-3
워시팡팡 구로점,서울 구로구 가마산로 265 한솔로이젠트 104호,(지번) 구로동 103-11
워시테리아 대림점,서울 영등포구 대림로8길 8,(지번) 대림동 975-39
워시맨 도림초점,서울 영등포구 가마산로65길 19-2 1층,(지번) 신길동 299-7
24시 셀프빨래터,경기 광명시 광복로 44,(지번) 철산동 56-24
24시셀프빨래방,서울 관악구 조원중앙로1길 49,(지번) 신림동 1667
워시클리어셀프빨래방,서울 동작구 신대방1가길 57,(지번) 신대방동 686-11
월드크리닝 코인월드 독산점,서울 금천구 가산로3길 65,(지번) 독산동 302-21
크린토피아 코인워시 금천롯데캐슬점,서울 금천구 시흥대로 315 지하1층,(지번) 독산동 1156
워시엔조이 독산점,서울 금천구 독산동 148-12,
워시프렌즈셀프빨래방 광명하안동점,경기 광명시 금당로 36,(지번) 하안동 260-2
현대셀프크리닝,서울 금천구 독산로 89,(지번) 시흥동 842-10
셀피아 금천가산동점,서울 금천구 가산로5길 66,(지번) 가산동 236-10
클린업24셀프빨래방 광명하안점,경기 광명시 하안로 233 109호,(지번) 하안동 260-4
더런드리 셀프빨래방 광명소하점,경기 광명시 소하로92번길 11 1층,(지번) 소하동 1343-2
행복셀프빨래방,서울 금천구 독산로 96 1층,(지번) 시흥동 819-2
워시피플셀프빨래방 광명소하점,경기 광명시 소하로 10 휴먼시아 아파트 상가 103호,(지번) 소하동 1284
행복셀프빨래집,서울 금천구 독산로 96,(지번) 시흥동 819-2
